"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JF2YVY4K","journalArticle","2002","","The British Geopolitical Enigma","Stratfor","","","","","","2002-11-05","2023-04-25 17:19:33","2023-09-28 22:06:07","2020-03-23","","","","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/84MVNGJ2/0425 Sratfor - The British Geopolitical Enigma.pdf","","NS3710; Britain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RKMW2HN9","book","2018","Lindley-French, Julian","UK Military Operations","","","","10.1093/oso/9780198790501.003.0048","https://academic.oup.com/book/34803/chapter/297666706","The world that the United Kingdom must face in the late 2010s and into the 2020s seems to make its small armed force look ever smaller, and the gap between the force and intended effect ever wider. This chapter examines the key drivers of UK military operations since the end of the cold war by assessing how the UK has put strategy and doctrine into practice. The Strategic Defence and Security Review 2010 established seven military tasks for the UK armed forces ranging from the defence of the United Kingdom, deterrence of threats, and support for partners through defence engagement, to defence of the overseas territories. However, the review revealed a fundamental tension between ends, ways, and means, a tension also evident in SDSR 2015. The UK’s armed forces are also in transition, shifting away from the land-centric operations of the wars of Yugoslav succession of the mid-1990s to a greater focus on maritime–amphibious operations with an emphasis on deep ‘jointness’ (cross-service cooperation).","2018-07-19","2023-04-25 17:19:02","2023-09-28 22:08:29","2023-04-25 17:19:02","","","","1","","","","","","","","Oxford University Press","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathan/Zotero/storage/C9L3QA9U/0425 Lindly-French - UK Military Ops.pdf","","NS3710; Britain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4STGQN4T","journalArticle","2018","Cadier, David","Continuity and change in France's policies towards Russia: a milieu goals explanation","International Affairs","","0020-5850, 1468-2346","10.1093/ia/iiy186","https://academic.oup.com/ia/article/94/6/1349/5162429","","2018-11-01","2023-04-20 19:18:16","2023-09-28 22:03:38","2023-04-20 19:18:16","1349-1369","","6","94","","","Continuity and change in France's policies towards Russia","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathan/Zotero/storage/36DDQYBV/Cadier - 2018 - Continuity and change in France's policies towards.pdf","","NS3710; France - Challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YFKBKKMY","journalArticle","","Lichfield, John; Cet, Am","Has Emmanuel Macron Broken France?","","","","","","","","2023-04-20 18:48:09","2023-09-28 22:04:44","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/jonathan/Zotero/storage/YI96T6BB/Lichfield and Cet - SIGN UP TO NEWSLETTERS SIGN IN.pdf","","NS3710; France - Challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WLWA8YIR","journalArticle","","Cohen, Roger","Macron Faces an Angry France Alone","","","","","","","","2023-04-20 18:41:32","2023-09-28 22:04:01","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/jonathan/Zotero/storage/NLJEPLHX/Cohen - Macron Faces an Angry France Alone.pdf","","NS3710; France - Challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6ECJ6DX","journalArticle","","Lichfield, John; Cet, Am","Why All French Politicians are Gaullists","","","","","","","","2023-04-20 18:33:36","2023-09-28 22:05:20","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/jonathan/Zotero/storage/AJ5GGVR4/Lichfield and Cet - On the 51st anniversary of his death, current poli.pdf","","NS3710; France - Challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YT7J3V9L","magazineArticle","2021","","The French armed forces are planning for high-intensity war","","","","","","","2021-03-31","2023-04-20 18:24:39","2023-09-28 22:03:00","","","","","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/UHLPE9D8/0420 Economist - The French armed forces are planning for high-intensity war _ The Economist-1.pdf","","NS3710; France - Challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDFVRLSX","magazineArticle","2018","Gopnik, Adam","How Charles De Gaulle Rescued France","The New Yorker","","","","","","2018-08-20","2023-04-13 18:40:22","2023-04-13 18:53:21","","","","","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/YD945YM7/0413 Gopnik - How Charles De Gaulle Rescued France.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ZH3DR7C","magazineArticle","2019","","Thirty Years After the Berlin Wall Fell- Germans Still Don't Agree on What Reunifcation Meant","The Economist","","","","","","2019-10-31","2023-04-11 19:22:51","2023-09-28 21:50:36","","","","","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/F7MKZ5TR/0411 Economist - Thirty Years After the Berlin Wall Fell- Germans Still Don-t Agree on What Reunifcation Meant.pdf","","Germany - Challenges; NS3710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N257NREJ","journalArticle","","Kundnani, Hans","We Need to Talk About Germany","Foreign Affairs","","","","","","","2023-04-11 19:17:46","2023-09-28 21:51:50","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/jonathan/Zotero/storage/M4ZJENF2/Kundnani - We Need to Talk About Germany.pdf","","Germany - Challenges; NS3710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRCMXQYV","magazineArticle","","Kagan, Robert","The New German Question- What Happens When Europe Comes Apart","Foreign Affairs","","","","","","","2023-04-11 19:04:52","2023-09-28 21:51:17","","","","","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/P5RSE9PP/0411 Kagan - The New German Question- What Happens When Europe Comes Apart.pdf","","Germany - Challenges; NS3710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3HTFS29","magazineArticle","2022","","There are not enough Germans to do thejobs Germany needs","The Economist","","","","","","2022-10-06","2023-04-11 19:02:37","2023-09-28 21:49:56","","","","","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/ZJGT6YKY/0411 Economist - There are not enough Germans to do the jobs Germany needs.pdf","","Germany; Germany - Challenges; NS3710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VETEH89X","magazineArticle","2022","Kuras, Peter","How right-wing extremists infiltrated Germany’s armed forces","The Economist","","","","","","2022-10-21","2023-04-11 18:46:32","2023-09-28 21:49:21","","","","","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/BVVH2D9R/0411 Economist - How right-wing extremists infiltrated Germany’s armed forces.pdf","","Germany; Germany - Challenges; NS3710","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKWA5ZMA","journalArticle","2022","Nelson, Sgt Maj Robert","The Understated Art of Knowing When to ST*U","","","","","","","2022","2022-06-05 15:26:03","2022-06-05 15:26:03","","4","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/jonathan/Zotero/storage/WP9LRGIQ/Nelson - 2022 - The Understated Art of Knowing When to STU.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2G7JCBHC","journalArticle","","","Preparing for Post Retirement Success in the Civilian Market","","","","","","","","2021-10-04 05:58:58","2021-10-04 05:59:10","","","","","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/TB2W5VYR/Preparing for Post Retirement Success in the Civil.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P6RUJLIN","document","2018","","Department of Defense Digital Engineering Strategy","","","","","","","2018-06","2021-03-16 23:56:49","2021-03-16 23:57:56","","","","","","","","","","","","","Office of the Deputy Assistant Secretary of Defense for Systems Engineering","","","","","","","","","","","/Users/jonathan/Documents/Education/Systems Engineering/SENG 640/digeng-2018.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLJE4JKA","magazineArticle","2018","Turkle, Sherry","The ""Robotic Moment""","Encyclopedia Brittanica","","","","https://www.britannica.com/topic/The-Robotic-Moment-2118595","","2018-05-25","2021-03-16 23:09:45","2021-03-16 23:11:27","2021-03-14","","","","","","","","","","","","","","","","","","","","","","","","https://www.britannica.com/topic/The-Robotic-Moment-2118595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWHFKCWL","document","2020","Roper, Will","There is No Spoon: _The New Digital Acquisition Reality","","","","","","","2020-10-07","2021-03-16 05:40:14","2021-03-16 05:41:21","2021-03-14","","","","","","","","","","","","Department of the Air Force","","","","","","","","","","","/Users/jonathan/Documents/Education/Systems Engineering/SENG 640/There_Is_No_Spoon_(Digital_Acquisition)_7_Oct_2020.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HREUDEX5","book","2009","Maier, Mark; Rechtin, Eberhardt","The Art of Systems Architecting","","","","","","","2009","2021-03-16 04:44:37","2021-03-16 04:45:46","","","","","","","","","","","","","Taylor and Francis Group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Third","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8PNA36GK","book","2016","Crawley, Edward; Cameron, Bruce; Selva, Daniel","System Architecture: Strategy and Product Development for Complex Systems","","","","","","","2016","2021-03-16 04:42:37","2021-03-16 04:44:07","","","","","","","","","","","","","Pearson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H835I3HX","newspaperArticle","2019","Correll, Diana","Air Force unveils ‘Digital Air Force’ initiative","Air Force Times","","","","https://www.airforcetimes.com/news/your-air-force/2019/07/10/air-force-unveils-digital-air-force-initiative/","","2019-07-10","2021-03-15 02:44:51","2021-03-15 02:46:00","2021-03-14","","","","","","","","","","","","","","","","","","","","","","","","https://www.airforcetimes.com/news/your-air-force/2019/07/10/air-force-unveils-digital-air-force-initiative/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4P3VLME","newspaperArticle","2019","","Digital engineering transformation coming to Air Force weapons enterprise","88th Air Base Wing Public Affairs","","","","https://www.edwards.af.mil/News/Article/2046599/digital-engineering-transformation-coming-to-air-force-weapons-enterprise/","","2019-12-23","2021-03-15 01:18:24","2021-03-15 01:21:38","2021-03-14","","","","","","","","","","","","","","","","","","","","","","","","https://www.edwards.af.mil/News/Article/2046599/digital-engineering-transformation-coming-to-air-force-weapons-enterprise/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NRR98JBI","blogPost","2019","Dwyer, Morgan","The Air Force Digital Century Series: Beyond the Buzzwords","Center for Strategic & International Studies","","","","https://www.csis.org/analysis/air-force-digital-century-series-beyond-buzzwords","","2019-11-08","2021-03-15 00:56:14","2021-03-15 00:59:43","2021-03-14","","","","","","","","","","","","","","English","","","","","","","","","/Users/jonathan/Zotero/storage/FN3VHPI2/Dwyer - 2019 - The Air Force Digital Century Series Beyond the B.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L6PKERHI","journalArticle","","","Cooperate CoOpt and Compete with China in Africa","","","","","","","","2020-08-23 16:09:20","2020-08-23 16:09:20","","4","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/jonathan/Zotero/storage/VH7AZFIQ/Cooperate CoOpt and Compete with China in Africa.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NP6RZM5C","journalArticle","2017","Cao, Yiwei; Wang, Rui-Hong","Associations among Metabolism, Circadian Rhythm and Age-Associated Diseases","Aging and disease","","2152-5250","10.14336/AD.2016.1101","http://www.aginganddisease.org/EN/10.14336/AD.2016.1101","Accumulating epidemiological studies have implicated a strong link between age associated metabolic diseases and cancer, though direct and irrefutable evidence is missing. In this review, we discuss the connection between Warburg effects and tumorigenesis, as well as adaptive responses to environment such as circadian rhythms on molecular pathways involved in metabolism. We also review the central role of the sirtuin family of proteins in physiological modulation of cellular processes and age-associated metabolic diseases. We also provide a macroscopic view of how the circadian rhythm affects metabolism and may be involved in cell metabolism reprogramming and cancer pathogenesis. The aberrations in metabolism and the circadian system may lead to age-associated diseases directly or through intermediates. These intermediates may be either mutated or reprogrammed, thus becoming responsible for chromatin modification and oncogene transcription. Integration of circadian rhythm and metabolic reprogramming in the holistic understanding of metabolic diseases and cancer may provide additional insights into human diseases.","2017","2020-03-17 19:48:19","2020-03-17 19:48:19","2020-03-17 19:48:19","314","","3","8","","Aging and disease","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathan/Zotero/storage/3DA9WDVB/Cao and Wang - 2017 - Associations among Metabolism, Circadian Rhythm an.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBCQ9UPS","journalArticle","2013","Guimarães, Lia Buarque de Macedo; Ribeiro, Jose Luis Duarte; Saurin, Tarcísio Abreu; Homem de Bittencourt, Paulo Ivo","Circadian Rhythms as a Basis for Work Organization: A Study With Live Line Electricians","Human Factors: The Journal of the Human Factors and Ergonomics Society","","0018-7208, 1547-8181","10.1177/0018720812451855","http://journals.sagepub.com/doi/10.1177/0018720812451855","Objective: With the assumption that circadian rhythms influence human performance, the work of live line electricians was reorganized and evaluated.The hypothesis was that in highly physical and attentiondemanding work, the organization of tasks, according to the ideal period of day and day of week, should diminish stress and consequent work risks. Background:There are only a few studies reporting the work of electricians and even fewer approaching work organization. Moreover, these investigations often do not consider human physiological limitations and capabilities as well as task demands. Method: A new work system was proposed with consideration of (a) the circadian cycles and homeostatic processes; (b) the effect of heat, which is a zeitgeber (synchronizer) for the biological clocks; and (c) the degree of physical and mental demands of the different performed tasks, which was assessed on the basis of opinions of the electricians and physiological markers of stress that are controlled by circadian rhythms. The traditional and new systems were compared on the basis of two cognitive indices (the arrangement of matchsticks and the perception of a minute) and three physiological markers of mental-to-physical loads (heart frequency and the level of adrenaline and noradrenaline). Results: Both physical and mental loads were reduced in the new system. Conclusion: Work organization should include consideration of human circadian rhythms, mainly when stressful and high-risk tasks are involved.","2013-02","2020-03-17 19:48:15","2020-03-17 19:48:15","2020-03-17 19:48:15","204-217","","1","55","","Hum Factors","Circadian Rhythms as a Basis for Work Organization","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathan/Zotero/storage/W4HAAH8W/Guimarães et al. - 2013 - Circadian Rhythms as a Basis for Work Organization.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3P5U9GFN","journalArticle","2014","Pallarés, Jesús G.; López-Samanes, Álvaro; Moreno, Jaime; Fernández-Elías, Valentín E.; Ortega, Juan Fernando; Mora-Rodríguez, Ricardo","Circadian rhythm effects on neuromuscular and sprint swimming performance","Biological Rhythm Research","","0929-1016, 1744-4179","10.1080/09291016.2013.797160","http://www.tandfonline.com/doi/abs/10.1080/09291016.2013.797160","","2014-01-02","2020-03-17 19:41:32","2020-03-17 19:41:32","2020-03-17 19:41:32","51-60","","1","45","","Biological Rhythm Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathan/Zotero/storage/APBDN6UB/Pallarés et al. - 2014 - Circadian rhythm effects on neuromuscular and spri.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UH243RZ8","journalArticle","2015","Dachanidze, N.T.; Kuchukashvili, Z.T.; Menabde, K.O.; Koshoridze, N.I.","Circadian rhythm disorders and dynamic changes of energy metabolism in rat heart muscle cells","Biological Rhythm Research","","0929-1016, 1744-4179","10.1080/09291016.2014.941232","http://www.tandfonline.com/doi/abs/10.1080/09291016.2014.941232","","2015-01-02","2020-03-17 19:41:05","2020-03-17 19:41:05","2020-03-17 19:41:05","39-51","","1","46","","Biological Rhythm Research","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jonathan/Zotero/storage/X5D5E86U/Dachanidze et al. - 2015 - Circadian rhythm disorders and dynamic changes of .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JBE5UUIB","webpage","2017","","Beware the Romance of Leadership","War on the Rocks","","","","https://warontherocks.com/2017/02/beware-the-romance-of-leadership/","“Leaders are responsible for everything their unit does or fails to do.” Some of us old soldiers reveled in that platitude as accolades were thrown our","2017-02-15","2023-08-19 20:14:08","2024-07-04 08:45:14","2023-08-19 20:14:08","","","","","","","","","","","","","","en-US","","","","","","","","","/Users/jonathan/Zotero/storage/H9QM3Z6K/beware-the-romance-of-leadership.html","","Leadership - Team Dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53C3C4K7","blogPost","2017","Ricks, Thomas E.","A Navy pilot’s take: The Air Force doesn’t have a pilot crisis, it has a leadership crisis","Foreign Policy","","","","https://foreignpolicy.com/2017/04/24/a-navy-pilots-take-the-air-force-doesnt-have-a-pilot-crisis-it-has-a-leadership-crisis/","The United States Air Force is facing a crisis, seemingly a recent one, which will define the service for decades to come.","2017-04-24","2023-08-19 19:58:46","2024-07-04 08:45:16","2023-08-19 19:58:46","","","","","","","A Navy pilot’s take","","","","","","","en-US","","","","","","","","","/Users/jonathan/Zotero/storage/VKPGMC5N/a-navy-pilots-take-the-air-force-doesnt-have-a-pilot-crisis-it-has-a-leadership-crisis.html","","Leadership - Team Dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K7JBWQ5L","presentation","2004","Roche, James G., Secretary of the Air Force","The Warriors Creed - A Lesson from an American Warrior","","","","","","Remarks at the unveiling of the commemorative display for Tech. Sgt. John Chapman, Arlington National Cemetery, Jan. 8, 2004","2004-01-08","2023-08-14 22:41:07","2023-12-19 05:56:44","","","","","","","","","","","","","","Arlington National Cemetery","","","","","","","","","","/Users/jonathan/Zotero/storage/4ZGC7VGQ/Roche, The Warriors Creed - A Lesson from an American Warrior, 2004.pdf","","ACSC Material; Leadership - Warrior Ethos; 1class L&C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PV4LQ95","journalArticle","2013","Dempsey, Martin E., General, Charmain JCS","Dempsey, Why We Serve, 2013, p2-3.pdf","Joint Force Quarterly","","","","","","2013","2023-08-14 22:37:10","2023-12-19 05:56:44","","","","70","","","","","","","","","","","","","","","","","","","","/Users/jonathan/Zotero/storage/2TZKLDLK/Dempsey, Why We Serve, 2013, p2-3.pdf","","ACSC Material; Leadership - Warrior Ethos; 1class L&C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W8EPU2QP","report","2011","Meredith, Lisa S.; Sherbourne, Cathy D.; Gaillot, Sarah; Hansell, Lydia; Ritschard, Hans V.; Parker, Andrew M.; Wrenn, Glenda","Promoting psychological resilience in the U.S. military","","","","","","As U.S. service members deploy for extended periods on a repeated basis, their ability to cope with the stress of deployment may be challenged. A growing number of programs and strategies provided by the military and civilian sectors are available to encourage and support psychological resilience to stress for service members and families. Though previous research from the field of psychology delineating the factors that foster psychological resilience is available, there has been no assessment of whether and how well the current military resilience programs are addressing these factors in their activities. Further, little is known about the effectiveness of these programs on developing resilience. To assist the Department of Defense in understanding methodologies that could be useful in promoting resilience among service members and their families, the authors conducted a focused literature review to identify evidence-informed factors for promoting psychological resilience. The study also reviewed a subset of military resilience programs to determine the extent to which they included those evidence-informed factors. This report describes the context, approach, and findings from these research activities","2011","2023-08-11 22:08:38","2023-12-19 05:56:44","","","","","","","","","","","","","Rand Corporation","Santa Monica, CA","en","","","","","Library of Congress ISBN","U22.3","","","/Users/jonathan/Zotero/storage/AXXHCA35/Meredith et al. - 2011 - Promoting psychological resilience in the U.S. mil.pdf","","ACSC Material; Leadership - Resilience; supplemental; 1class L&C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZ9842ME","journalArticle","2009","Bartone, Paul T.; Barry, Charles L.; Armstrong, Robert E.","To Build Resilience: Leader Influence on Mental Hardiness","Defense Horizons","","","10.1037/e631962009-001","http://doi.apa.org/get-pe-doi.cfm?doi=10.1037/e631962009-001","","2009-11","2023-08-11 22:08:37","2023-12-19 05:56:44","2023-08-11 22:08:37","","","69","","","","To Build Resilience","","","","","","","en","","","","","DOI.org (Crossref)","","Institution: American Psychological Association DOI: 10.1037/e631962009-001","","/Users/jonathan/Zotero/storage/94GSASMT/Bartone et al. - 2009 - To Build Resilience Leader Influence on Mental Ha.pdf","","ACSC Material; Leadership - Resilience; Leadership; Leadership - Climate/Culture; 0 AGREE / LIKE; 1class L&C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
